algorithm,ari_mean,ari_std,cost_ratio_vs_kmeans_mean,cost_ratio_vs_kmeans_std,cost_sse_mean,cost_sse_std,d,dataset,k,n,nmi_mean,nmi_std,num_seeds,quality_loss_pct_vs_kmeans_mean,quality_loss_pct_vs_kmeans_std,runtime_sec_mean,runtime_sec_std,sweep_id
KMeans(sk),0.99681,0.0,1.0,0.0,398998.41666,0.07216,10.0,blobs,8.0,10000.0,0.99562,0.0,3.0,0.0,0.0,0.11093,0.11396,Kmeans_sweep
MiniBatchKMeans(sk),0.94186,0.09496,1.06726,0.11632,425836.05208,46412.23202,10.0,blobs,8.0,10000.0,0.97449,0.03638,3.0,6.72625,11.63219,0.01992,0.00511,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99688,0.00013,1.0,0.0,399002.03088,2.56965,10.0,blobs,8.0,10000.0,0.99571,0.00015,3.0,0.0009,0.00065,0.48308,0.0594,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99612,0.0009,1.01074,0.00277,403287.02083,1107.91755,10.0,blobs,8.0,10000.0,0.99478,0.00112,3.0,1.07484,0.27769,0.91776,0.08627,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.81606,0.04052,2.19534,0.08047,875937.64583,32111.34113,10.0,blobs,8.0,10000.0,0.89945,0.0193,3.0,119.53411,8.04798,3.57871,0.57692,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.851,0.04001,1.09848,0.07533,438295.74314,30059.4917,10.0,blobs,8.0,10000.0,0.90655,0.0067,3.0,9.84899,7.53375,0.06203,0.00424,Kmeans_sweep
KMeans(sk),0.62219,0.00254,1.0,0.0,33167.21484,0.63868,10.0,anisotropic,8.0,10000.0,0.75657,0.00089,3.0,0.0,0.0,0.04611,0.00516,Kmeans_sweep
MiniBatchKMeans(sk),0.61978,0.00937,1.05585,0.04688,35019.65494,1555.34832,10.0,anisotropic,8.0,10000.0,0.76321,0.00614,3.0,5.58511,4.68818,0.02046,0.00337,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.61456,0.00408,1.03076,0.05057,34187.55135,1677.05576,10.0,anisotropic,8.0,10000.0,0.75891,0.00861,3.0,3.07638,5.05785,0.42965,0.01339,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.62178,0.02119,1.03559,0.03255,34347.83203,1079.51028,10.0,anisotropic,8.0,10000.0,0.75651,0.01004,3.0,3.55961,3.25597,0.76422,0.08721,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.58548,0.0256,1.72675,0.11993,57271.69401,3978.74028,10.0,anisotropic,8.0,10000.0,0.74819,0.01733,3.0,72.67549,11.99306,3.01212,0.06651,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.62199,0.00206,1.03723,0.05806,34402.07097,1926.52214,10.0,anisotropic,8.0,10000.0,0.75895,0.00282,3.0,3.72305,5.80652,0.05962,0.00135,Kmeans_sweep
KMeans(sk),1.0,0.0,1.0,0.0,623552.4375,0.0,10.0,high_dim_sparseish,8.0,10000.0,1.0,0.0,3.0,0.0,0.0,0.03817,0.00221,Kmeans_sweep
MiniBatchKMeans(sk),0.89028,0.09501,1.2907,0.25674,804822.20833,160094.40728,10.0,high_dim_sparseish,8.0,10000.0,0.95709,0.03716,3.0,29.07049,25.67457,0.01787,0.00149,Kmeans_sweep
